ENCUESTA NACIONAL DE HOGARES
AÑO = 2024
TRIMESTRE = 4
MÓDULO: GOBERNABILIDAD, DEMOCRACIA Y TRANSPARENCIA
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA
AÑO MES CONGLOME VIVIENDA HOGAR CODPERSO UBIGEO DOMINIO P1.01
2024 10 15565 135 11 2 40104 6 5
2024 10 15574 16 11 1 40129 6 1
2024 10 15574 33 11 1 40129 6 2
2024 10 15574 51 11 1 40129 6 9
2024 10 15574 70 11 1 40129 6 9
2024 10 15574 85 11 1 40129 6 1
2024 10 15574 102 11 1 40129 6 1
2024 10 15574 120 11 1 40129 6 2
2024 10 15574 185 11 3 40129 6 9
2024 10 15584 27 11 4 40109 6 9
2024 10 15584 50 11 1 40109 6 2
2024 10 15584 74 11 2 40109 6 2
2024 10 15584 97 11 1 40109 6 5
2024 10 15584 121 11 2 40109 6 3
2024 10 15584 144 11 1 40109 6 2
2024 10 15621 50 11 4 40109 6 1
2024 10 15621 80 11 1 40109 6 2
2024 10 15621 95 11 1 40109 6 1
2024 10 15621 124 11 1 40109 6 1
2024 10 15621 139 11 1 40109 6 1
2024 10 15634 18 11 1 40110 6 1
2024 10 15634 49 11 2 40110 6 1
2024 10 15634 63 11 2 40110 6 3
2024 10 15634 105 11 2 40110 6 2
2024 10 15634 120 11 1 40110 6 1
2024 10 15637 21 11 1 40112 6 9
2024 10 15637 33 11 1 40112 6 9
2024 10 15637 83 11 1 40112 6 2
2024 10 15637 95 11 3 40112 6 3
2024 10 15648 9 11 1 40129 6 1
2024 10 15648 24 11 1 40129 6 1
2024 10 15648 38 11 2 40129 6 1
2024 10 15648 58 11 1 40129 6 1
2024 10 15648 67 11 2 40129 6 3
2024 10 15648 83 11 1 40129 6 2
2024 10 15648 128 11 1 40129 6 1
2024 10 15648 142 11 1 40129 6 9
2024 10 15654 12 11 1 40103 6 1
2024 10 15654 64 11 1 40103 6 3
2024 10 15654 83 12 3 40103 6 2
2024 10 15654 83 22 2 40103 6 2
2024 10 15654 100 11 1 40103 6 1
2024 10 15654 118 11 3 40103 6 2
2024 10 15672 12 11 2 40706 3 5
2024 10 15672 47 11 1 40706 3 1
2024 10 15672 64 11 1 40706 3 1
2024 10 15672 76 11 1 40706 3 1
2024 10 15672 110 11 1 40706 3 1
2024 10 15672 147 11 1 40706 3 2
2024 10 15684 9 11 1 40701 3 1
2024 10 15684 25 11 1 40701 3 1
2024 10 15684 42 11 1 40701 3 1
2024 10 15684 58 11 2 40701 3 1
2024 10 15684 108 11 2 40701 3 1
2024 10 15684 124 11 2 40701 3 2
2024 10 15687 8 11 2 40701 3 9
2024 10 15687 40 11 2 40701 3 3
2024 10 15687 45 11 1 40701 3 2
2024 10 15687 51 11 4 40701 3 2
2024 10 15687 169 11 2 40701 3 1
2024 10 15693 13 11 3 40108 3 2
2024 10 15693 39 11 1 40108 3 5
2024 10 15693 64 11 1 40108 3 5
2024 10 15693 75 11 1 40108 3 3
2024 10 15698 6 11 2 40703 3 2
2024 10 15698 61 11 1 40703 3 9
2024 10 15698 79 11 2 40703 3 2
2024 10 15698 99 11 1 40703 3 2
2024 10 15698 116 11 1 40703 3 2
2024 10 15747 190 11 2 40309 3 1
2024 10 15747 191 11 2 40309 3 2
2024 10 15747 192 11 1 40309 3 2
2024 10 15747 477 11 2 40309 3 2
2024 10 15747 479 11 1 40309 3 2
2024 10 15747 480 11 1 40309 3 1
2024 10 15747 482 11 1 40309 3 2
2024 10 15747 484 11 2 40309 3 2
2024 10 15748 32 11 1 40312 3 3
2024 10 15748 97 11 3 40312 3 2
2024 10 15748 100 11 1 40312 3 2
2024 10 15748 105 11 2 40312 3 1
2024 10 15748 110 11 2 40312 3 5
2024 10 15748 115 11 2 40312 3 2
2024 10 15748 119 11 2 40312 3 1
2024 10 15757 69 11 3 40106 6 3
2024 10 15757 70 11 1 40106 6 2
2024 10 15757 72 11 2 40106 6 3
2024 10 15757 154 11 1 40106 6 1
2024 10 15757 155 11 4 40106 6 2
2024 10 15757 158 11 4 40106 6 1
2024 10 15757 159 11 2 40106 6 1
2024 10 15757 160 11 2 40106 6 9
2024 10 15767 4 11 1 40802 6 1
2024 10 15767 10 11 2 40802 6 1
2024 10 15767 21 11 2 40802 6 5
2024 10 15767 26 11 1 40802 6 5
2024 10 15767 37 11 2 40802 6 2
2024 10 15767 54 11 1 40802 6 1
2024 10 15767 61 11 1 40802 6 1
2024 10 15767 65 11 2 40802 6 5
2024 10 15788 8 11 2 50116 5 1
2024 10 15788 25 11 1 50116 5 3
2024 10 15788 63 11 1 50116 5 2
2024 10 15788 76 11 2 50116 5 1
2024 10 15796 14 11 1 50101 5 1
2024 10 15796 26 11 1 50101 5 2
2024 10 15796 39 11 1 50101 5 1
2024 10 15796 51 11 2 50101 5 1
2024 10 15796 74 11 1 50101 5 1
2024 10 15796 85 11 2 50101 5 5
2024 10 15802 16 11 2 50104 5 2
2024 10 15802 33 11 1 50104 5 5
2024 10 15802 69 11 1 50104 5 2
2024 10 15802 106 11 1 50104 5 1
2024 10 15802 124 11 1 50104 5 2
2024 10 15802 142 11 2 50104 5 3
2024 10 15807 15 11 3 50115 5 2
2024 10 15807 91 11 3 50115 5 2
2024 10 15807 132 11 1 50115 5 5
2024 10 15828 1 11 1 50401 5 5
2024 10 15828 11 11 1 50401 5 5
2024 10 15828 24 11 2 50401 5 5
2024 10 15828 56 11 2 50401 5 5
2024 10 15828 69 11 2 50401 5 5
2024 10 15828 79 11 1 50401 5 5
2024 10 15853 29 11 2 50508 5 1
2024 10 15853 45 11 1 50508 5 5
2024 10 15853 76 11 1 50508 5 5
2024 10 15853 107 11 2 50508 5 1
2024 10 15853 124 11 2 50508 5 2
2024 10 15861 17 11 2 50509 7 5
2024 10 15861 52 11 2 50509 7 1
2024 10 15861 87 11 1 50509 7 5
2024 10 15861 104 11 2 50509 7 5
2024 10 15861 138 11 1 50509 7 1
2024 10 15861 152 11 1 50509 7 1
2024 10 15862 11 11 1 50407 7 5
2024 10 15862 26 11 1 50407 7 1
2024 10 15862 35 11 2 50407 7 1
2024 10 15862 50 11 1 50407 7 5
2024 10 15862 105 11 2 50407 7 5
2024 10 15862 119 11 6 50407 7 1
2024 10 15883 45 11 1 51106 5 5
2024 10 15883 47 11 1 51106 5 5
